"treeID","h_max","h_mean","h_p95","n_pts"
3,13.035,12.4514,13.0184,5
6,13.141,12.4583333333333,12.9594,9
7,14.715,12.1297878787879,14.106,33
9,14.909,12.2164827586207,14.2104,29
10,14.254,12.70276,14.1278,25
11,15.262,13.12092,15.1724,25
12,15.197,12.5541818181818,14.5706,22
13,12.589,11.025619047619,12.359,21
14,15.359,12.2578333333333,15.204,42
15,15.258,12.9428125,15.1698,32
16,12.357,10.8188235294118,12.0938,17
17,14.638,12.759875,14.2465,16
18,15.221,12.1356176470588,14.7122,34
19,15.511,12.8844166666667,15.21085,72
20,16.392,12.4193150684932,15.6258,73
21,13.372,11.5174545454545,13.0326,22
22,11.707,11.5454,11.6922,5
23,15.5,12.7666825396825,15.3774,63
24,15.986,12.6596170212766,15.7935,47
25,14.319,11.1044074074074,13.751,81
26,14.146,11.3157619047619,13.71565,42
27,13.542,11.67,13.42275,24
28,12.073,11.221,11.9904,5
29,15.102,13.0056071428571,14.9362,28
30,16.666,11.7388644067797,16.2454,177
31,14.511,11.9623529411765,14.1982,17
32,13.671,10.2320588235294,13.448,51
33,12.451,11.0942727272727,12.254,11
34,16.202,12.0579824561404,15.46975,114
35,13.71,10.7756,13.34335,70
36,14.714,11.1460793650794,14.2833,63
37,14.476,10.7169074074074,14.1354,54
38,14.612,12.5676153846154,14.1812,13
39,16.24,11.7407424242424,15.66175,66
40,16.57,11.7588918918919,16.0135,111
41,16.863,10.5131538461538,16.2794,169
42,16.32,11.1397264150943,15.84825,106
43,15.206,10.6235961538462,15.06155,52
44,15.45,10.9722222222222,14.3988,27
45,15.111,13.0199090909091,14.84825,22
46,15.818,12.75105,15.69925,20
47,16.626,10.5441217948718,16.221,156
48,14.77,8.78382634730539,14.107,167
49,14.939,9.7825625,14.7263,144
50,16.61,8.93274157303371,15.71215,178
51,15.355,8.14859661016949,13.6289,295
52,14.47,7.45597802197802,13.784,91
53,16.815,9.84811180124224,15.96,161
54,14.919,8.1236397515528,14.541,161
55,16.94,11.0384573170732,16.35855,328
56,15.112,7.98263636363636,14.4847,187
57,13.982,7.27777966101695,13.7653,59
58,13.164,6.69614705882353,12.85035,34
59,14.729,12.3142777777778,13.85095,18
60,16.169,12.0474081632653,15.8938,49
61,17.074,10.4949203187251,16.485,251
62,19.2,10.3012,15.7854,250
63,15.29,8.17117857142857,14.71145,168
64,19.417,10.8032860892388,16.756,381
65,19.534,9.7127668161435,16.6163,223
66,15.478,9.04820588235294,15.03775,136
68,20.074,11.1048888888889,16.932,315
69,13.387,7.17114285714286,13.07905,28
70,12.773,7.431,12.625,17
72,16.664,13.1167580645161,16.3389,62
73,20.439,9.8115103626943,16.71425,386
74,18.762,8.49277408637874,15.43965,602
75,15.278,7.63875949367089,14.9764,237
76,15.073,7.82409395973154,14.56345,298
77,20.246,11.1775838150289,16.7778,173
78,20.364,11.0107233333333,16.91455,300
79,20.756,10.9546961651917,17.2138,339
80,20.411,10.2046068376068,16.67515,234
81,15.613,7.60645803357314,15.4694,417
83,20.111,10.7434978991597,17.024,476
84,19.818,8.38695852534562,14.38695,868
85,15.601,7.7654875,15.4301,400
86,14.776,9.09179285714286,14.0241,140
87,16.513,12.206619047619,15.8422,63
88,15.545,7.28202684563758,15.1167,447
89,15.549,12.6434473684211,14.6044,38
90,21.049,11.0414008438819,17.1027,474
91,21.085,9.40617122302158,16.7373,695
92,21.079,9.22629399585921,16.7912,483
93,21.657,10.9250123762376,17.11,404
94,21.057,9.79988372093023,16.38585,344
95,15.613,7.29942932628798,14.9056,757
96,14.507,9.139875,13.6796,72
98,21.874,11.1343130563798,17.32605,674
99,21.395,8.07108935611038,14.782,761
100,15.727,12.9204583333333,15.05085,24
101,22.244,9.9605547309833,17.0828,539
102,21.589,10.056808259587,16.973,339
103,19.69,7.12436636636637,14.2798,999
104,16.085,7.38158034321373,14.5848,1282
105,14.526,9.33055555555556,14.3016,18
106,19.363,12.8853,16.2217,60
107,18.602,12.4972162162162,16.895,111
108,21.452,11.5906890756303,17.515,357
109,21.821,9.2738576329331,17.077,583
110,21.7,10.9192785145889,17.2874,377
111,16.322,9.44597126436782,14.4566,174
112,15.026,13.0613888888889,14.7385,36
113,21.355,7.80876923076923,15.2389,1274
114,19.082,6.97198706099815,13.821,541
115,21.415,10.1626098191214,16.5098,387
116,21.97,8.40478588235294,15.94755,850
117,20.186,13.3063164556962,17.1004,79
118,20.399,13.3260166666667,19.10005,60
119,22.15,12.2715198237885,17.4876,227
120,21.344,10.9137935034803,17.6645,431
